GEOID,mail,youth,adult,latinx
6037124903,,4.911790379,4.899361699,5.005698625
6037212304,,11.29180388,8.823296858,9.228241973
6037212410,,8.066884578,7.509338204,7.963099824
6037124902,,13.24342235,6.280418545,5.930246776
6037294610,,6.687884069,12.76215826,16.79697399
6037294510,,6.436439461,15.59217405,18.11325319
6037211910,,7.929545992,6.336578594,6.509886047
6037212101,,6.541557831,4.43392852,4.699668008
6037212102,,10.71440642,4.143431615,4.643118251
6037221500,,12.94528202,11.01177769,15.14667077
6037294421,-1,8.074440269,8.952660373,10.61421034
6037297120,,11.2724598,9.03481445,10.80771421
6037297601,,3.327963652,4.112754054,5.288738992
6037297602,,3.373232652,5.019253982,6.12581043
6037212501,,5.944117102,7.0206261,6.742786544
6037212502,,5.344884307,7.318547573,6.922775569
6037221304,,17.0894325,7.285090195,8.974623099
6037128801,,5.644663582,5.468695358,5.949256155
6037128910,,4.216342207,4.890456581,5.161726406
6037137401,,5.79393131,4.297835674,5.189708624
6037208501,,11.81909009,11.02544671,11.02925975
6037208610,,5.180210758,9.32322154,10.36565339
6037221810,,14.51120196,5.813317421,10.2954384
6037221900,,22.17449796,4.309249528,11.90945654
6037222100,,16.32054615,19.94595964,24.68463305
6037222600,,17.93588679,11.357055,15.15713629
6037222200,,9.706656177,12.62451631,16.72657513
6037231800,,8.816319681,10.73918333,13.93142836
6037137504,,4.808489573,4.555327702,6.015476745
6037138000,,4.055187615,6.202495647,7.336572346
6037139802,,3.153779574,5.044866333,6.10028352
6037224020,,17.30632687,20.3807262,25.11693291
6037224600,,11.88082758,13.57130948,25.81198798
6037209820,,10.60083051,15.76914152,17.60595598
6037210010,,6.63549815,12.40559445,14.54170001
6037139702,,5.745518638,8.408389171,11.85038041
6037228320,,8.219947578,6.224104812,8.483837281
6037228600,,9.030761238,8.791448549,11.95110203
6037139701,,4.013909755,7.30625069,9.216579862
6037199800,,9.438050278,9.785570221,12.35360106
6037120103,,15.31237817,16.52173913,17.91237678
6037211122,,11.88515656,4.678286308,5.329353389
6037211320,,11.318609,6.593055813,6.970659758
6037141400,,3.980506665,6.218786216,6.619168615
6037141500,,4.847044446,8.537548577,9.925488428
6037228500,,11.77297737,13.21248122,17.57391923
6037141303,,2.985723971,6.039439494,6.375692735
6037141304,,2.649511302,5.209304508,5.107313993
6037141302,,3.905261648,5.706399741,5.753373842
6037207301,,10.36060988,5.305998981,4.653907803
6037207502,,29.21930392,4.481658985,4.322235449
6037212203,,12.13093229,7.745899515,8.100940696
6037212204,,13.4453891,6.059169075,6.55118549
6037212303,,12.88829141,8.797928763,9.036720464
6037261200,,3.646614129,5.620989392,5.440152929
6037270100,,14.59845537,6.49500768,6.493297922
6037242200,,10.78210075,7.553911863,10.88996023
6037242700,,12.80977957,13.46664717,19.36176576
6037141201,,5.548368102,5.650527311,5.481139483
6037141102,,5.85568354,5.35455337,5.186877618
6037191301,,4.109677419,6.143434343,5.698823529
6037228410,,7.222222222,15.43630383,20.08424658
6037231100,,7.216238777,6.569227516,11.9328632
6037143901,,2.312141822,4.150613101,4.765818863
6037243000,,19.67114454,25.85161285,35.11847985
6037243100,,8.876477854,9.192015512,15.03632012
6037241001,,14.04260982,8.855867389,12.55258356
6037272301,,7.595598046,8.19527976,7.305122203
6037217001,,4.555611477,4.200253603,4.324330217
6037217002,,8.22517106,7.639997661,8.092047963
6037224200,,10.54225283,13.37073021,15.6110874
6037189701,,6.560609142,10.46040421,11.43362382
6037237300,,7.010772646,7.57560156,9.379106754
6037190202,,11.93609099,6.105119687,5.951857906
6037194101,,8.280013813,11.43887969,11.67164765
6037199700,,12.14759418,13.64737723,14.51200848
6037261102,,3.580582822,6.556952693,6.803175778
6037194300,,8.725959914,10.03433324,10.43738613
6037194200,,9.152566055,8.60646317,9.098271979
6037191500,,10.05828325,4.825699208,5.532934617
